"sku;""manufacturer"";""description"";""date_modified"";""quantity"";""price"";""alt_sku"";""picture"""
"cC646339;;""SEAL KIT"";""2010-12-03 10:20:40"";""1"";""6"";""NULL"";"
"cC646340;;""SEAL KIT"";""2010-12-03 10:20:40"";""2"";""8"";""NULL"";"
"CL002707;""CLARK"";;""0000-00-00 00:00:00"";""1"";""0"";;"
"CL07163883;""CLARK"";;""0000-00-00 00:00:00"";""2"";""0"";;"
"CL103405;""CLARK"";""END - TIE ROD RH"";""0000-00-00 00:00:00"";""1"";""9"";;"
"CL103406;""CLARK"";""END - TIE ROD LH"";""0000-00-00 00:00:00"";""1"";""9"";;"
"CL107348;""CLARK"";""O-RING"";""2010-11-30 09:38:24"";""1"";""2"";""MI2-276N674-70"";"
"CL108792;""CLARK"";""KEY - DRAW"";""0000-00-00 00:00:00"";""1"";""2"";;"
"CL112149;""CLARK"";""SEAL – OIL"";""2010-11-16 09:06:55"";""13"";""1"";;"
"CL124515;""CLARK"";;""0000-00-00 00:00:00"";""1"";""0"";;"
"CL13178727;""CLARK"";;""0000-00-00 00:00:00"";""1"";""0"";;"
"CL1318727;""CLARK"";""BEARING - CUP"";""2010-11-30 09:38:24"";""2"";""3"";""CL1318727"";"
"CL15F000008;""CLARK"";;""0000-00-00 00:00:00"";""1"";""0"";;"
"CL1618250;""CLARK"";""PAD - PEDAL"";""0000-00-00 00:00:00"";""1"";""6"";;"
"CL1629316;""CLARK"";""SHAFT"";""0000-00-00 00:00:00"";""1"";""10"";;"
"CL1678347;""CLARK"";""SWITCH - PUSH BUTTON"";""2010-11-30 09:38:24"";""2"";""8"";""LP393-3206"";"
"CL16903633;""CLARK"";;""0000-00-00 00:00:00"";""16"";""0"";;"
"CL1704379;""CLARK"";""RELAY - STARTER 12 VOLT"";""2010-11-30 09:38:24"";""1"";""16"";""CL1704379"";"
"CL1721235;""CLARK"";""CABLE - BRAKE"";""0000-00-00 00:00:00"";""1"";""24"";;"
"CL1801184;""CLARK"";;""0000-00-00 00:00:00"";""1"";""0"";;"
"CL1802354;""CLARK"";""DECAL KIT"";""0000-00-00 00:00:00"";""1"";""16"";;"
"CL1811039;""CLARK"";""BRUSH KIT"";""0000-00-00 00:00:00"";""1"";""49"";;"
"CL1811866;""CLARK"";""WIRE KIT - IGNITION"";""0000-00-00 00:00:00"";""1"";""14"";;"
"CL1813032;""CLARK"";""SEAL KIT - STEER CYLINDER"";""0000-00-00 00:00:00"";""1"";""29"";;"
"CL1821328;""CLARK"";""PACKING KIT"";""0000-00-00 00:00:00"";""1"";""6"";;"
"CL1830141;""CLARK"";""SEAL KIT - TILT CYLINDER"";""2010-11-30 09:38:24"";""1"";""19"";""CL1811184"";"
"CL1830350;""CLARK"";""SEAL KIT"";""0000-00-00 00:00:00"";""1"";""10"";;"
"CL195355;""CLARK"";;""0000-00-00 00:00:00"";""2"";""0"";;"
"cl1cm425;""CLARK"";""BOLT"";""2010-12-03 10:20:40"";""2"";""0"";""NULL"";"
"CL204187;""CLARK"";""BEARING SEGMENT - UPPER"";""2010-11-30 09:38:24"";""2"";""7"";""CA204187"";"
"CL207209;""CLARK"";""PLATE - WEAR"";""2010-11-30 09:38:24"";""2"";""10"";""CA207209"";"
"CL207529;""CLARK"";""SEAL-OIL"";""2010-11-30 09:38:24"";""1"";""9"";""HY3050394"";"
"CL208350;""CLARK"";""PLATE - WEAR"";""2010-11-30 09:38:24"";""2"";""9"";""CA208350"";"
"CL209158;""CLARK"";""SEAL – OIL"";""2010-11-16 09:06:55"";""4"";""1"";;"
"CL2093094;""CLARK"";""GEAR PUMP 30.0C"";""0000-00-00 00:00:00"";""1"";""983"";;"
"CL2107647;""CLARK"";""BEARING - CUP"";""2010-11-30 09:38:24"";""2"";""1"";""CL712098"";"
"CL2107649;""CLARK"";""BEARING - CUP"";""0000-00-00 00:00:00"";""1"";""3"";;"
"CL215275;""CLARK"";""RELAY - STARTER 12 VOLT"";""0000-00-00 00:00:00"";""1"";""8"";;"
